"","tile_id"
"1","040048"
"2","040049"
"3","040050"
"4","040053"
"5","041048"
"6","041049"
"7","041050"
"8","041051"
"9","041052"
"10","041053"
"11","041054"
"12","042047"
"13","042048"
"14","042049"
"15","042050"
"16","042051"
"17","042052"
"18","042053"
"19","043045"
"20","043046"
"21","043047"
"22","043048"
"23","043049"
"24","043050"
"25","043051"
"26","043052"
"27","043053"
"28","043054"
"29","044044"
"30","044045"
"31","044046"
"32","044047"
"33","044048"
"34","044049"
"35","044050"
"36","044051"
"37","044052"
"38","044053"
"39","045043"
"40","045044"
"41","045045"
"42","045046"
"43","045047"
"44","045048"
"45","045049"
"46","045050"
"47","045051"
"48","045052"
"49","046043"
"50","046044"
"51","046045"
